Phone timestamp;sensor timestamp [ns];X [dps];Y [dps];Z [dps]
2022-04-25T11:40:42.263;704202039737227883;-0.28;-0.77;1.12
2022-04-25T11:40:42.282;704202039756568238;-0.21000001;-0.63;1.12
2022-04-25T11:40:42.301;704202039775908593;-0.14;-0.7;0.98
2022-04-25T11:40:42.321;704202039795248948;-0.14;-0.84000003;0.98
2022-04-25T11:40:42.340;704202039814589303;-0.21000001;-0.98;1.12
2022-04-25T11:40:42.359;704202039833929658;-0.28;-0.7;1.19
2022-04-25T11:40:42.379;704202039853270013;-0.21000001;-0.63;1.19
2022-04-25T11:40:42.398;704202039872610368;-0.14;-0.98;1.12
2022-04-25T11:40:42.417;704202039891950723;-0.14;-0.98;1.05
2022-04-25T11:40:42.437;704202039911291078;-0.14;-0.84000003;1.12
2022-04-25T11:40:42.456;704202039930631433;-0.21000001;-0.98;1.26
2022-04-25T11:40:42.475;704202039949971788;-0.07;-1.12;1.33
2022-04-25T11:40:42.495;704202039969312143;-0.07;-1.05;1.33
2022-04-25T11:40:42.514;704202039988652498;-0.07;-1.05;1.33
2022-04-25T11:40:42.533;704202040007992853;-0.07;-0.98;1.26
2022-04-25T11:40:42.553;704202040027333208;-0.14;-0.84000003;1.26
2022-04-25T11:40:42.572;704202040046673563;-0.14;-0.91;1.26
2022-04-25T11:40:42.591;704202040066013918;-0.07;-1.12;1.33
2022-04-25T11:40:42.611;704202040085354273;-0.07;-1.26;1.26
2022-04-25T11:40:42.630;704202040104694628;-0.07;-1.4;1.19
2022-04-25T11:40:42.649;704202040124034983;-0.14;-1.19;1.19
2022-04-25T11:40:42.669;704202040143375338;-0.14;-1.12;1.19
2022-04-25T11:40:42.688;704202040162715693;-0.14;-1.26;1.19
2022-04-25T11:40:42.707;704202040182056048;-0.14;-1.26;1.19
2022-04-25T11:40:42.727;704202040201396396;-0.14;-1.19;1.12
2022-04-25T11:40:42.746;704202040220736656;-0.14;-1.05;1.19
2022-04-25T11:40:42.765;704202040240076916;-0.21000001;-0.84000003;1.12
2022-04-25T11:40:42.785;704202040259417176;-0.21000001;-0.84000003;1.12
2022-04-25T11:40:42.804;704202040278757436;-0.21000001;-0.91;1.05
2022-04-25T11:40:42.823;704202040298097696;-0.21000001;-0.84000003;0.98
2022-04-25T11:40:42.843;704202040317437956;-0.21000001;-0.77;1.05
2022-04-25T11:40:42.862;704202040336778216;-0.21000001;-0.84000003;1.05
2022-04-25T11:40:42.881;704202040356118476;-0.14;-0.98;1.05
2022-04-25T11:40:42.901;704202040375458736;-0.07;-0.98;1.05
2022-04-25T11:40:42.920;704202040394798996;-0.14;-0.91;1.12
2022-04-25T11:40:42.939;704202040414139256;-0.14;-0.84000003;1.05
2022-04-25T11:40:42.959;704202040433479516;-0.21000001;-0.7;1.12
2022-04-25T11:40:42.978;704202040452819776;-0.21000001;-0.7;1.26
2022-04-25T11:40:42.997;704202040472160036;-0.21000001;-0.77;1.26
2022-04-25T11:40:43.017;704202040491500296;-0.21000001;-0.91;1.19
2022-04-25T11:40:43.036;704202040510840556;-0.21000001;-0.84000003;1.19
2022-04-25T11:40:43.055;704202040530180816;-0.21000001;-0.77;1.19
2022-04-25T11:40:43.075;704202040549521076;-0.21000001;-0.84000003;1.05
2022-04-25T11:40:43.094;704202040568861336;-0.14;-0.98;1.05
2022-04-25T11:40:43.113;704202040588201596;-0.14;-0.98;1.12
2022-04-25T11:40:43.133;704202040607541856;-0.14;-1.05;1.19
2022-04-25T11:40:43.152;704202040626882116;-0.07;-1.19;1.26
2022-04-25T11:40:43.171;704202040646222376;-0.07;-1.26;1.26
2022-04-25T11:40:43.191;704202040665562636;-0.07;-1.05;1.26
2022-04-25T11:40:43.210;704202040684902896;-0.28;-0.56;1.26
2022-04-25T11:40:43.230;704202040704243156;-0.35;-0.28;1.26
2022-04-25T11:40:43.249;704202040723583416;-0.21000001;-0.7;1.26
2022-04-25T11:40:43.268;704202040742923676;-0.14;-1.33;1.26
2022-04-25T11:40:43.288;704202040762263936;-0.07;-1.33;1.19
2022-04-25T11:40:43.307;704202040781604196;-0.14;-1.33;1.26
2022-04-25T11:40:43.326;704202040800944456;-0.21000001;-1.05;1.19
2022-04-25T11:40:43.346;704202040820284716;-0.21000001;-0.91;1.12
2022-04-25T11:40:43.365;704202040839624976;-0.07;-1.19;1.19
2022-04-25T11:40:43.384;704202040858965236;0.0;-1.47;1.19
2022-04-25T11:40:43.404;704202040878305496;-0.07;-1.4;1.33
2022-04-25T11:40:43.423;704202040897645756;-0.21000001;-1.26;1.47
2022-04-25T11:40:43.442;704202040916986016;-0.14;-1.05;1.47
2022-04-25T11:40:43.462;704202040936326276;-0.07;-0.77;1.12
2022-04-25T11:40:43.481;704202040955666536;-0.14;-0.7;0.98
2022-04-25T11:40:43.500;704202040975006796;-0.21000001;-0.63;0.98
2022-04-25T11:40:43.520;704202040994347056;-0.28;-0.63;0.98
2022-04-25T11:40:43.539;704202041013687316;-0.35;-0.56;0.98
2022-04-25T11:40:43.558;704202041033027576;-0.28;-0.56;1.05
2022-04-25T11:40:43.578;704202041052367836;-0.14;-0.84000003;0.98
2022-04-25T11:40:43.597;704202041071708096;-0.07;-1.05;0.98
2022-04-25T11:40:43.616;704202041091048356;-0.14;-1.05;1.19
2022-04-25T11:40:43.636;704202041110388616;-0.21000001;-0.77;1.19
2022-04-25T11:40:43.655;704202041129728876;-0.21000001;-0.7;1.12
2022-04-25T11:40:43.674;704202041149069136;-0.14;-0.91;1.12
