Phone timestamp;PP-interval [ms];error estimate [ms];blocker;contact;contact;hr [bpm]
2022-04-25T11:46:33.611;1428;26;0;1;1;43
2022-04-25T11:46:36.290;1380;22;0;1;1;50
2022-04-25T11:46:37.670;1308;15;0;1;1;50
2022-04-25T11:46:38.978;1246;11;0;1;1;50
2022-04-25T11:46:40.224;1176;10;0;1;1;50
2022-04-25T11:46:41.324;1150;8;0;1;1;50
2022-04-25T11:46:42.474;1243;6;0;1;1;50
2022-04-25T11:46:43.717;1212;6;0;1;1;50
2022-04-25T11:46:44.929;1240;8;0;1;1;50
2022-04-25T11:46:46.169;1187;8;0;1;1;50
2022-04-25T11:46:46.302;1196;7;0;1;1;49
2022-04-25T11:46:47.498;1246;6;0;1;1;49
2022-04-25T11:46:48.744;1169;8;0;1;1;49
2022-04-25T11:46:49.913;1238;8;0;1;1;49
2022-04-25T11:46:51.327;1238;7;0;1;1;49
2022-04-25T11:46:52.565;1183;6;0;1;1;49
2022-04-25T11:46:53.748;1217;8;0;1;1;49
2022-04-25T11:46:54.965;1229;9;0;1;1;49
2022-04-25T11:46:56.354;1235;7;0;1;1;49
2022-04-25T11:46:57.589;1293;6;0;1;1;49
2022-04-25T11:46:58.882;1246;6;0;1;1;49
2022-04-25T11:47:00.128;1217;6;0;1;1;49
2022-04-25T11:47:01.425;1152;5;0;1;1;56
2022-04-25T11:47:02.577;1146;5;0;1;1;56
2022-04-25T11:47:03.723;1165;5;0;1;1;56
2022-04-25T11:47:04.888;1095;7;0;1;1;56
2022-04-25T11:47:05.983;953;9;0;1;1;56
2022-04-25T11:47:06.459;1063;8;0;1;1;54
2022-04-25T11:47:07.522;1217;7;0;1;1;54
2022-04-25T11:47:08.739;1174;9;0;1;1;54
2022-04-25T11:47:09.913;1100;10;0;1;1;54
2022-04-25T11:47:11.202;986;9;0;1;1;50
2022-04-25T11:47:12.188;939;8;0;1;1;50
2022-04-25T11:47:13.127;1222;12;0;1;1;50
2022-04-25T11:47:14.349;1242;17;0;1;1;50
2022-04-25T11:47:16.280;1170;14;0;1;1;50
2022-04-25T11:47:17.450;1153;11;0;1;1;50
2022-04-25T11:47:18.603;1131;10;0;1;1;50
2022-04-25T11:47:19.734;1147;10;0;1;1;50
2022-04-25T11:47:20.881;1250;11;0;1;1;50
2022-04-25T11:47:21.466;1203;9;0;1;1;53
2022-04-25T11:47:22.669;1194;8;0;1;1;53
2022-04-25T11:47:23.863;1132;8;0;1;1;53
2022-04-25T11:47:24.995;1140;9;0;1;1;53
2022-04-25T11:47:26.156;1128;7;0;1;1;53
2022-04-25T11:47:27.284;1056;7;0;1;1;53
2022-04-25T11:47:28.340;1131;7;0;1;1;53
2022-04-25T11:47:29.471;1188;7;0;1;1;53
2022-04-25T11:47:30.659;1109;8;0;1;1;53
2022-04-25T11:47:31.244;1082;7;0;1;1;55
2022-04-25T11:47:32.326;1142;5;0;1;1;55
2022-04-25T11:47:33.468;1096;5;0;1;1;55
2022-04-25T11:47:34.564;1072;7;0;1;1;55
2022-04-25T11:47:36.429;1058;6;0;1;1;56
2022-04-25T11:47:37.487;1158;6;0;1;1;56
2022-04-25T11:47:38.645;1137;8;0;1;1;56
2022-04-25T11:47:39.782;1014;9;0;1;1;56
2022-04-25T11:47:40.796;1033;10;0;1;1;56
2022-04-25T11:47:41.242;1237;10;0;1;1;56
2022-04-25T11:47:42.479;1170;10;0;1;1;56
2022-04-25T11:47:43.649;1179;11;0;1;1;56
2022-04-25T11:47:44.828;1021;12;0;1;1;56
2022-04-25T11:47:46.252;946;10;0;1;1;54
2022-04-25T11:47:47.198;1022;9;0;1;1;54
2022-04-25T11:47:48.220;1168;9;0;1;1;54
2022-04-25T11:47:49.388;1091;11;0;1;1;54
2022-04-25T11:47:50.479;1096;11;0;1;1;54
2022-04-25T11:47:51.415;1132;9;0;1;1;55
2022-04-25T11:47:52.547;1147;7;0;1;1;55
2022-04-25T11:47:53.694;1133;6;0;1;1;55
2022-04-25T11:47:54.827;1098;7;0;1;1;55
2022-04-25T11:47:56.414;1010;6;0;1;1;53
2022-04-25T11:47:57.424;1103;6;0;1;1;53
2022-04-25T11:47:58.527;1211;7;0;1;1;53
